#{"t_start": 1782553759.8627472, "env_id": "None"}
r,l,t
3.9544368,67,1.239038
27.304586,67,2.369642
5.458942,67,3.45669
6.6861963,67,4.561358
20.434515,67,5.724619
7.9999213,67,6.82956
10.675852,67,7.975387
15.837246,67,9.082729
3.0644171,67,10.179145
19.630802,67,11.266636
7.923745,67,12.388448
10.350147,67,13.531275
8.559207,67,14.681175
4.2431426,67,15.777872
10.625212,67,16.98226
12.291743,67,18.429048
5.528362,67,19.879722
17.809088,67,21.328876
18.394772,67,22.776773
18.557177,67,24.22054
17.5726,67,25.652199
8.669863,67,27.109689
20.288952,67,28.580551
3.0061607,67,30.053743
22.35095,67,31.519118
19.225044,67,33.02981
8.302144,67,34.52152
5.3062005,67,36.025813
21.771124,67,37.476106
24.933512,67,38.909031
10.115979,67,40.423881
22.934229,67,41.925662
28.37992,67,43.452214
25.714672,67,44.979558
26.15574,67,46.401746
42.25297,67,47.859308
26.916576,67,49.475126
27.96007,67,51.055331
22.870312,67,52.579289
31.075293,67,54.077797
31.691795,67,55.525284
23.693584,67,57.072781
30.862658,67,58.613566
27.44956,67,60.103944
28.480095,67,61.559815
40.88591,67,63.092365
26.683796,67,64.64612
31.29968,67,66.21835
37.658607,67,67.69573
44.669697,67,69.238516
45.26651,67,70.778651
46.363712,67,72.314899
44.518936,67,73.883593
32.687428,67,75.417987
31.896486,67,76.916837
40.142624,67,78.430095
48.42653,67,80.018623
50.398235,67,81.645846
51.41163,67,83.143638
51.10701,67,84.680198
51.190845,67,86.232896
50.48738,67,87.817646
51.63733,67,89.377513
43.79344,67,90.862559
49.510456,67,92.379248
53.11086,67,93.999011
51.8978,67,95.543133
51.7304,67,97.160392
52.112038,67,98.705727
49.92121,67,100.284322
51.82652,67,101.820479
50.662926,67,103.334709
51.565372,67,104.82471
52.698612,67,106.386646
35.399536,67,107.900114
49.989986,67,109.486573
52.009483,67,111.036439
45.022175,67,112.656864
48.844833,67,114.231487
49.31428,67,115.765242
45.69302,67,117.33792
52.447693,67,118.900766
51.21944,67,120.400481
52.320602,67,121.91928
52.689537,67,123.470668
51.808464,67,125.061575
49.332844,67,126.554892
53.289345,67,128.084772
52.26741,67,129.688055
49.79957,67,131.262282
52.752403,67,132.810203
52.371754,67,134.308226
52.415394,67,135.840694
53.474716,67,137.410459
53.641335,67,138.944364
53.346027,67,140.474587
51.195168,67,141.985623
51.209423,67,143.529995
39.126442,67,145.153896
51.256844,67,146.683438
52.17979,67,148.173106
52.265354,67,149.724371
50.518497,67,151.210417
52.07448,67,152.765649
49.92174,67,154.301051
52.908924,67,155.817514
53.256897,67,157.300234
53.869537,67,158.790463
53.67745,67,160.413842
53.23025,67,162.01761
53.204117,67,163.499944
52.805725,67,164.983984
49.02733,67,166.491399
54.199905,67,168.07861
54.271053,67,169.617127
50.48948,67,171.11369
53.388542,67,172.634788
51.161777,67,174.225429
53.5212,67,175.751572
51.301205,67,177.394677
51.694157,67,178.89091
52.594933,67,180.440919
52.36863,67,181.971089
48.46261,67,183.457875
52.742123,67,184.992077
51.825077,67,186.560853
53.13346,67,188.051278
51.913055,67,189.566432
53.018745,67,191.088452
46.279446,67,192.693072
52.80285,67,194.243396
51.528427,67,195.735374
49.38768,67,197.269091
51.017254,67,198.844008
51.422276,67,200.382817
53.587116,67,201.907283
51.984554,67,203.418895
51.731243,67,204.991776
52.255135,67,206.502593
51.65791,67,208.035226
49.921482,67,209.56885
51.48108,67,211.079198
48.58852,67,212.601823
50.30792,67,214.150526
52.266937,67,215.653124
51.39059,67,217.196215
51.684425,67,218.709146
49.23183,67,220.233849
52.192524,67,221.754326
51.18679,67,223.281494
50.58741,67,224.879519
52.07648,67,226.428948
51.27705,67,227.998979
46.318462,67,229.588523
50.793137,67,231.068511
51.955193,67,232.660836
50.257633,67,234.160399
50.761974,67,235.711423
52.57872,67,237.197595
49.78608,67,238.640234
49.81037,67,240.116184
51.193455,67,241.675042
50.43192,67,243.154251
52.675976,67,244.664288
51.28881,67,246.173798
52.923054,67,247.731226
53.070496,67,249.265606
49.502888,67,250.791681
46.17451,67,252.299909
53.591614,67,253.850919
53.054554,67,255.301569
51.801037,67,256.903468
48.921124,67,258.490827
50.87632,67,260.034571
50.793552,67,261.557416
53.468056,67,263.094512
51.99453,67,264.648654
51.031807,67,266.204433
51.834675,67,267.699302
49.90507,67,269.21235
52.54334,67,270.735872
53.021984,67,272.250763
52.770924,67,273.817557
52.368786,67,275.310673
52.75256,67,276.808388
53.33991,67,278.367728
51.411224,67,279.922244
51.414165,67,281.434787
49.77377,67,282.933577
52.22655,67,284.510114
51.73276,67,286.026024
51.951393,67,287.544038
52.252083,67,289.144474
51.233894,67,290.714122
49.536976,67,292.252627
51.804466,67,293.776208
53.193573,67,295.258721
51.355778,67,296.806897
53.490887,67,298.325704
54.019108,67,299.8536
52.755566,67,301.401529
51.028046,67,302.940781
51.144714,67,304.469749
52.437103,67,306.021505
45.406918,67,307.549474
51.66916,67,309.141449
51.405838,67,310.65007
51.587494,67,312.172544
43.105606,67,313.684691
52.48055,67,315.213826
50.578014,67,316.768835
49.736076,67,318.279963
52.111153,67,319.854977
51.81762,67,321.474915
50.634266,67,322.981566
50.223034,67,324.580125
51.87042,67,326.055618
53.222595,67,327.498201
51.90534,67,328.97594
53.120945,67,330.489858
46.84835,67,332.042903
52.86301,67,333.558658
51.0844,67,335.023383
53.332863,67,336.479242
51.02315,67,338.043588
52.118427,67,339.590642
52.71758,67,341.174219
52.71758,67,342.781765
50.955467,67,344.327985
52.066067,67,345.956846
52.750084,67,347.538574
48.34077,67,349.072675
52.044872,67,350.609571
50.76809,67,352.196476
51.57973,67,353.83973
49.918873,67,355.400791
49.105816,67,356.958409
51.045387,67,358.567524
50.96905,67,360.094227
49.046143,67,361.676435
52.297634,67,363.238138
50.464424,67,364.797546
49.701664,67,366.377069
52.179432,67,367.916166
51.31339,67,369.548785
53.7452,67,371.075921
49.255802,67,372.556376
49.099075,67,374.083782
49.146336,67,375.633416
52.523815,67,377.181195
47.408836,67,378.706909
51.61758,67,380.199678
52.39903,67,381.741781
47.735184,67,383.300712
52.400307,67,384.868922
52.826206,67,386.397744
51.004654,67,387.897284
49.583946,67,389.440246
53.026817,67,391.045489
51.158295,67,392.508513
50.581127,67,393.977606
44.271698,67,395.445173
52.67065,67,396.962667
50.824203,67,398.521711
51.15866,67,400.042931
51.810726,67,401.603249
50.935497,67,403.156999
52.256187,67,404.699176
49.70595,67,406.224509
49.46914,67,407.745855
52.177334,67,409.217954
49.196175,67,410.73216
49.7247,67,412.231453
50.612885,67,413.79217
53.017624,67,415.36157
52.15162,67,416.947432
50.066116,67,418.556421
52.717377,67,420.123885
49.30643,67,421.697558
46.6473,67,423.265412
49.580936,67,424.79524
46.705563,67,426.373766
48.080944,67,427.911237
50.221653,67,429.447423
46.915703,67,430.966423
52.118675,67,432.541891
52.376762,67,434.10328
51.41668,67,435.636291
45.887726,67,437.12188
48.798485,67,438.654527
51.42694,67,440.121593
50.883236,67,441.649163
52.625324,67,443.199596
52.32667,67,444.688819
51.61567,67,446.172577
47.65139,67,447.691878
46.49122,67,449.281746
52.469097,67,450.846819
